Feature,Mean SHAP Value
Annual Mean Temperature,0.013631577847514571
Sampling Density,0.012415754324168459
Potential Evapotranspiration,0.011215744340448206
Project Variables,0.007140599221600873
SOC at 5cm,0.006968430334805192
Human Development,0.006258216526435469
Precipitation Seasonality,0.005547401584864698
Max Temperature of Warmest Month,0.00485280910496427
Elevation,0.004298462435782183
Sand Content at 5cm,0.0026728038780207703
Annual Precipitation,0.0025527466265706277
Net Primary Productivity,0.00217247504067585
Slope,0.002121209670805063
Soil pH at 5cm,0.001976487044764953
Aspect Cosine,0.0019036627624953919
Depth to Bedrock,0.0019022348748054061
Aspect Sine,0.0018526263237569223
Population Density,0.001380821056804438
Topo. Position Index,0.001263710386847339
Aboveground Biomass,0.0010615647176005307
Homogeneity EVI,0.0010570899348312725
Correlation EVI,0.0010198775850317155
Coef. of Var. EVI,0.0009606141953938042
Burnt Areas Probability,0.0006545769491894577
